         10814361 function calls (10697337 primitive calls) in 46.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.928    0.232 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:41(_get_string_representation)
     2972    0.006    0.000    0.903    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/accessor.py:220(__get__)
     2968    0.005    0.000    0.897    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
     2968    0.026    0.000    0.892    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/arrays/sparse/accessor.py:231(_validate)
    57243    0.200    0.000    0.885    0.000 {method 'any' of 'numpy.ndarray' objects}
     1356    0.005    0.000    0.826    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:5839(get_indexer_for)
   390497    0.321    0.000    0.811    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
    14166    0.100    0.000    0.806    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:671(_is_uniform_join_units)
88424/88386    0.122    0.000    0.802    0.000 {built-in method builtins.all}
    11584    0.786    0.000    0.786    0.000 {method 'factorize' of 'pandas._libs.hashtable.Int64HashTable' objects}
     9897    0.136    0.000    0.757    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/construction.py:494(sanitize_array)
    64676    0.726    0.000    0.726    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    10534    0.043    0.000    0.704    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:641(_get_empty_dtype)
    57258    0.089    0.000    0.685    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/_methods.py:55(_any)
      362    0.184    0.001    0.661    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/sorting.py:109(get_group_index)
    11023    0.166    0.000    0.640    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/concat.py:33(concat_compat)
    35155    0.083    0.000    0.634    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:625(na_value_for_dtype)
      974    0.045    0.000    0.623    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:4520(apply)
    17434    0.144    0.000    0.618    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:4226(_box_col_values)
13870/12386    0.038    0.000    0.577    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:5975(__getattr__)
      974    0.009    0.000    0.569    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/apply.py:1010(apply)
        4    0.003    0.001    0.565    0.141 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:154(_fit_strcols_to_terminal_width)
      974    0.023    0.000    0.554    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/apply.py:1061(apply_standard)
      308    0.003    0.000    0.538    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:6342(copy)
    10534    0.029    0.000    0.536    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:661(<listcomp>)
      355    0.004    0.000    0.510    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:620(copy)
    21068    0.037    0.000    0.507    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:420(dtype)
   127345    0.196    0.000    0.496    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1494(_is_dtype_type)
   390497    0.384    0.000    0.488    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:37(_check)
39235/36647    0.305    0.000    0.479    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    21068    0.170    0.000    0.471    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:411(needs_filling)
