         4572717 function calls (4555856 primitive calls) in 31.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    0.002    0.000    0.632    0.006 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:509(_validate_data)
    64131    0.070    0.000    0.607    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/_methods.py:47(_sum)
        3    0.000    0.000    0.594    0.198 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess.py:14(drop_columns_and_return)
    32032    0.038    0.000    0.539    0.000 <__array_function__ internals>:177(array_equal)
      343    0.008    0.000    0.525    0.002 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:19(print_list)
        1    0.001    0.001    0.481    0.481 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/demographic_handling.py:6(create_and_merge_demographic_subsets)
    32032    0.203    0.000    0.461    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/numeric.py:2407(array_equal)
       11    0.000    0.000    0.446    0.041 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/pipeline.py:354(_fit)
       11    0.000    0.000    0.439    0.040 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/memory.py:352(__call__)
       11    0.000    0.000    0.438    0.040 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/pipeline.py:947(_fit_transform_one)
    22/11    0.000    0.000    0.438    0.040 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/_set_output.py:155(wrapped)
       11    0.000    0.000    0.438    0.040 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:888(fit_transform)
    64048    0.079    0.000    0.426    0.000 <__array_function__ internals>:177(atleast_1d)
        4    0.003    0.001    0.421    0.105 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:154(_fit_strcols_to_terminal_width)
    96120    0.130    0.000    0.387    0.000 <__array_function__ internals>:177(empty_like)
      323    0.005    0.000    0.375    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
    65155    0.359    0.000    0.359    0.000 {built-in method numpy.array}
42777/42700    0.031    0.000    0.358    0.000 {built-in method builtins.hasattr}
      361    0.003    0.000    0.350    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:6130(dtypes)
    64015    0.085    0.000    0.350    0.000 <__array_function__ internals>:177(copy)
    31991    0.066    0.000    0.334    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:240(update_x)
      229    0.003    0.000    0.324    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:4518(drop)
       11    0.002    0.000    0.323    0.029 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:988(transform)
     1018    0.065    0.000    0.322    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:321(extract)
      229    0.004    0.000    0.317    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:4557(_drop_axis)
        1    0.002    0.002    0.287    0.287 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/create_demodf_knn.py:4(create_demographic_dfs)
       42    0.000    0.000    0.282    0.007 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:149(concat)
        8    0.000    0.000    0.281    0.035 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:35(_get_strcols)
2133/2108    0.043    0.000    0.280    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:368(__init__)
        8    0.000    0.000    0.278    0.035 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:611(get_strcols)
        8    0.003    0.000    0.276    0.034 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:845(_get_strcols_without_index)
     4270    0.033    0.000    0.271    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:926(take_nd)
       42    0.001    0.000    0.262    0.006 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
       42    0.005    0.000    0.257    0.006 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
    32002    0.255    0.000    0.255    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:170(l2_penalty)
      251    0.003    0.000    0.244    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:892(format_col)
       22    0.003    0.000    0.240    0.011 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1533(precision_recall_fscore_support)
       11    0.001    0.000    0.239    0.022 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:89(find_best_threshold)
    32173    0.046    0.000    0.238    0.000 {method 'all' of 'numpy.ndarray' objects}
      362    0.002    0.000    0.233    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:276(get_dtypes)
313044/311542    0.157    0.000    0.232    0.000 {built-in method builtins.isinstance}
    64048    0.176    0.000    0.229    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/shape_base.py:23(atleast_1d)
       83    0.002    0.000    0.221    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:3911(_take)
     4954    0.016    0.000    0.218    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:58(take_nd)
       83    0.001    0.000    0.216    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:929(take)
       79    0.010    0.000    0.212    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:747(<listcomp>)
      276    0.002    0.000    0.205    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:4520(apply)
      276    0.005    0.000    0.200    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/apply.py:1010(apply)
       22    0.000    0.000    0.199    0.009 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/model_selection/_split.py:2532(train_test_split)
       11    0.000    0.000    0.196    0.018 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:244(_prepare_scalar_function)
        4    0.003    0.001    0.196    0.049 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:164(<listcomp>)
       11    0.000    0.000    0.196    0.018 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:86(__init__)
