seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",77,68,57,48,0.5862068965517241,0.58,0.544,0.5643153526970954
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,74,72,47,57,0.5581395348837209,0.584,0.6050420168067226,0.5806451612903225
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 162 2, 96 4",158,5,8,79,0.05952380952380952,0.652,0.38461538461538464,0.10309278350515462
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 147 2, 87 4",188,4,10,48,0.07692307692307693,0.768,0.2857142857142857,0.12121212121212123
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 194 3, 131 2, 75 4",147,5,7,91,0.052083333333333336,0.608,0.4166666666666667,0.0925925925925926
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 166 3, 119 2, 65 4",154,7,6,83,0.07777777777777778,0.644,0.5384615384615384,0.13592233009708737
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 100 2, 58 4",147,9,5,89,0.09183673469387756,0.624,0.6428571428571429,0.16071428571428573
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 83 2, 48 4",154,9,4,83,0.09782608695652174,0.652,0.6923076923076923,0.17142857142857143
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",184,12,6,48,0.2,0.784,0.6666666666666666,0.30769230769230765
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",162,12,4,72,0.14285714285714285,0.696,0.75,0.24
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",161,10,3,76,0.11627906976744186,0.684,0.7692307692307693,0.20202020202020202
