Pipeline Number,global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 55 3, 31 2, 14 4",55,78,59,58,0.5735294117647058,0.532,0.5693430656934306,0.5714285714285714
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 28 3, 14 2, 8 4",66,84,64,36,0.7,0.6,0.5675675675675675,0.626865671641791
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,73,71,78,28,0.7171717171717171,0.576,0.47651006711409394,0.5725806451612903
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",75,82,25,68,0.5466666666666666,0.628,0.7663551401869159,0.6381322957198443
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 221 3, 140 2, 89 4",66,86,34,64,0.5733333333333334,0.608,0.7166666666666667,0.6370370370370371
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",81,75,59,35,0.6818181818181818,0.624,0.5597014925373134,0.6147540983606556
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 108 2, 73 4",78,65,74,33,0.6632653061224489,0.572,0.4676258992805755,0.5485232067510548
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",56,90,30,74,0.5487804878048781,0.584,0.75,0.6338028169014085
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 126 3, 73 2, 51 4",61,79,47,63,0.5563380281690141,0.56,0.626984126984127,0.5895522388059703
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",57,91,27,75,0.5481927710843374,0.592,0.7711864406779662,0.6408450704225352
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 46 2, 27 4",71,85,53,41,0.6746031746031746,0.624,0.6159420289855072,0.6439393939393939
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",71,82,49,48,0.6307692307692307,0.612,0.6259541984732825,0.628352490421456
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",59,82,49,60,0.5774647887323944,0.564,0.6259541984732825,0.6007326007326008
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,67,86,50,47,0.6466165413533834,0.612,0.6323529411764706,0.6394052044609666
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",75,82,25,68,0.5466666666666666,0.628,0.7663551401869159,0.6381322957198443
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 221 3, 140 2, 89 4",66,86,34,64,0.5733333333333334,0.608,0.7166666666666667,0.6370370370370371
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",81,75,59,35,0.6818181818181818,0.624,0.5597014925373134,0.6147540983606556
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 108 2, 73 4",78,65,74,33,0.6632653061224489,0.572,0.4676258992805755,0.5485232067510548
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",56,90,30,74,0.5487804878048781,0.584,0.75,0.6338028169014085
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 126 3, 73 2, 51 4",61,79,47,63,0.5563380281690141,0.56,0.626984126984127,0.5895522388059703
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",57,91,27,75,0.5481927710843374,0.592,0.7711864406779662,0.6408450704225352
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 46 2, 27 4",71,85,53,41,0.6746031746031746,0.624,0.6159420289855072,0.6439393939393939
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",71,82,49,48,0.6307692307692307,0.612,0.6259541984732825,0.628352490421456
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",59,82,49,60,0.5774647887323944,0.564,0.6259541984732825,0.6007326007326008
3,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,67,86,50,47,0.6466165413533834,0.612,0.6323529411764706,0.6394052044609666
